site;province;city;district;village
Taman Gurun Panjang Barat;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Barat
Taman Gurun Panjang Selatan;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Selatan
Taman Gurun Panjang Utara;Sumatera Barat;Pesisir Selatan;Bayang;Gurun Panjang Utara
Taman Habincaran;Sumatera Utara;Mandailing Natal;Ulu Pungkut;Habincaran
Taman Hadangkahan;Sumatera Utara;Mandailing Natal;Batang Natal;Hadangkahan
Taman Hadungdung;Sumatera Utara;Padang Lawas Utara;Portibi;Hadungdung
Taman Hadungdung Aek Rampah;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Hadungdung Aek Rampah
Taman Hadungdung Pintu Padang;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Hadungdung Pintu Padang
Taman Hajoran;Sumatera Utara;Tapanuli Tengah;Pandan;Hajoran
Taman Hajoran;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hajoran
Taman Hajoran;Sumatera Utara;Labuhanbatu Selatan;Sungai Kanan;Hajoran
Taman Hajoran Indah;Sumatera Utara;Tapanuli Tengah;Pandan;Hajoran Indah
Taman Halaban;Sumatera Barat;Lima Puluh Kota;Lareh Sago Halaban;Halaban
Taman Halamona;Sumatera Utara;Nias Barat;Sirombu;Halamona
Taman Hale Baluta;Sumatera Utara;Nias Selatan;Tanah Masa;Hale Baluta
Taman Haliadulo;Sumatera Utara;Nias Barat;Lahomi;Haliadulo
Taman Halifadolo;Sumatera Utara;Nias Barat;Moro O;Halifadolo
Taman Halomona;Sumatera Utara;Nias Barat;Sirombu;Halomona
Taman Halongonan;Sumatera Utara;Padang Lawas Utara;Halongonan;Halongonan
Taman Hambawa;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hambawa
Taman Hambawa;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Utara;Hambawa
Taman Hambiri;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Hambiri
Taman Hambulo;Sumatera Utara;Padang Lawas Utara;Halongonan;Hambulo
Taman Handang Kopo;Sumatera Utara;Padang Lawas;Ulu Barumun;Handang Kopo
Taman Handel;Sumatera Utara;Mandailing Natal;Puncak Sorik Marapi;Handel
Taman Handio;Sumatera Utara;Padang Lawas;Sosa;Handio
Taman Handis Julu;Sumatera Utara;Padang Lawas;Barumun;Handis Julu
Taman Hangtuah;Riau;Kampar;Perhentian Raja;Hangtuah
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hanofa;Sumatera Utara;Nias Barat;Sirombu;Hanofa
Taman Hapesong Baru;Sumatera Utara;Tapanuli Selatan;Batang Toru;Hapesong Baru
Taman Hapesong Lama;Sumatera Utara;Tapanuli Selatan;Batang Toru;Hapesong Lama
Taman Hapung;Sumatera Utara;Padang Lawas;Sosa;Hapung
Taman Hapung Torop;Sumatera Utara;Padang Lawas;Sosa;Hapung Torop
Taman Harang Jae;Sumatera Utara;Padang Lawas;Sosa;Harang Jae
Taman Harang Julu;Sumatera Utara;Padang Lawas;Sosa;Harang Julu
Taman Harapan;Riau;Siak;Sungai Apit;Harapan
Taman Harapan Baru;Riau;Bengkalis;Mandau;Harapan Baru
Taman Harapan Jaya;Riau;Pelalawan;Pangkalan Kuras;Harapan Jaya
Taman Harapan Jaya;Riau;Rokan Hilir;Rimba Melintang;Harapan Jaya
Taman Harapan Makmur;Riau;Indragiri Hilir;Gaung Anak Serka;Harapan Makmur
Taman Harapan Makmur;Riau;Rokan Hilir;Bagan Sinembah Raya;Harapan Makmur
Taman Harapan Makmur Selatan;Riau;Rokan Hilir;Bagan Sinembah Raya;Harapan Makmur Selatan
Taman Harapan Tani;Riau;Indragiri Hilir;Kempas;Harapan Tani
Taman Harau;Sumatera Barat;Lima Puluh Kota;Harau;Harau
Taman Harean;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Harean
Taman Harefa;Sumatera Utara;Nias Utara;Tugala Oyo;Harefa
Taman Harefa Orahua;Sumatera Utara;Nias Selatan;Idanotae;Harefa Orahua
Taman Harefanaese;Sumatera Utara;Nias Utara;Alasa Talumuzoi;Harefanaese
Taman Harenoro;Sumatera Utara;Nias Selatan;Lahusa;Harenoro
Taman Harewakhe;Sumatera Utara;Nias Utara;Afulu;Harewakhe
Taman Hasahatan;Sumatera Utara;Padang Lawas Utara;Halongonan;Hasahatan
Taman Hasahatan Jae;Sumatera Utara;Padang Lawas;Barumun;Hasahatan Jae
Taman Hasahatan Julu;Sumatera Utara;Padang Lawas;Barumun;Hasahatan Julu
Taman Hasambi;Sumatera Utara;Padang Lawas Utara;Padang Bolak Julu;Hasambi
Taman Hasang Marsada;Sumatera Utara;Tapanuli Selatan;Sipirok;Hasang Marsada
