kakot;Shape_Leng;Shape_Area;lat;long
Aceh Barat;2.625691177;0.229779074;4.45764043;96.18555658
Aceh Barat Daya;2.489351052;0.156992261;3.82622328;96.88192254
Aceh Besar;4.804981068;0.234967668;5.37936225;95.51430834
Aceh Jaya;3.547742055;0.317305989;4.83256609;95.67903039
Aceh Selatan;4.558259053;0.341773111;3.16195211;97.43725575
Aceh Singkil;4.941711618;0.152361172;2.35016798;97.84618879
Aceh Tamiang;2.766691938;0.181904133;4.22152434;97.97721924
Aceh Tengah;4.070493498;0.369315153;4.51856846;96.87280087
Aceh Tenggara;3.639265981;0.334432649;3.36819495;97.69805824
Aceh Timur;6.007312537;0.42058858;4.62535163;97.63917011
Aceh Utara;4.242389042;0.2131287;5.02317523;97.17859509
Administrasi Kepulauan Seribu;1.312158027;0.000850638;-5.69581901;106.5786678
Agam;2.786275734;0.180739944;-0.25172701;100.1707142
Alor;5.672887507;0.240372652;-8.30394453;124.56841
Asahan;3.793831771;0.30496373;2.80574895;99.55999174
Asmat;12.60643522;2.025859539;-5.40630271;138.6670166
Badung;2.195224614;0.032623821;-8.58360888;115.1882986
Balangan;1.964550037;0.148661835;-2.31785515;115.6227724
Bandung;3.245239012;0.142511188;-7.09760015;107.608736
Bandung Barat;2.564626436;0.105006218;-6.89047358;107.4149704
Banggai;8.553844329;0.665631176;-1.01667019;122.5917975
Banggai Kepulauan;7.587318155;0.193812852;-1.37179363;123.1432926
Banggai Laut;10.54575257;0.055939501;-1.78013101;123.5294198
Bangka;4.105544405;0.245805184;-1.90450708;105.9191466
Bangka Barat;3.627123458;0.231187745;-1.88907207;105.4869577
Bangka Selatan;5.568890555;0.296893597;-2.77473005;106.3470209
Bangka Tengah;4.263018523;0.179384165;-2.43086335;106.2349969
Bangkalan;2.040324108;0.106479397;-7.04435746;112.9295324
Bangli;1.498461743;0.043354534;-8.29275919;115.3473384
Banjar;5.248871786;0.374489573;-3.31814717;115.0842748
Banjarnegara;2.296565514;0.093779972;-7.35129734;109.6571211
Bantaeng;0.980627777;0.032353544;-5.48869662;119.9868887
Bantul;1.866321177;0.041883009;-7.90127761;110.3549179
Banyuasin;10.5630272;0.999517099;-2.51843042;104.6864285
Banyumas;2.219606737;0.113954645;-7.45556199;109.1758016
Banyuwangi;4.325495387;0.295155349;-8.3647152;114.2058008
Barito Kuala;3.333824991;0.197144399;-3.09120357;114.631004
Barito Selatan;4.678341713;0.518155574;-1.7765447;114.9109354
Barito Timur;2.834629254;0.253322007;-1.97270802;115.1502867
Barito Utara;6.651580486;0.80898315;-0.92728235;115.1367693
Barru;2.680149642;0.098302401;-4.44211501;119.6946853
Batang;1.548577381;0.070093026;-7.02097745;109.8616405
Batanghari;4.676667213;0.440814169;-1.74711238;103.0991793
Batu Bara;2.367266585;0.071584976;3.23708972;99.47202567
Bekasi;3.133699678;0.102219887;-6.21979798;107.1217203
Belitung;6.702494352;0.183789894;-2.86788423;107.7092165
Belitung Timur;4.978140612;0.211516117;-2.90808634;108.0475355
Belu;2.259605276;0.092430186;-9.1538638;124.9684986
Bener Meriah;3.495607184;0.193438812;4.75790721;97.05915585
Bengkalis;7.698712767;0.68439155;1.40866994;101.6434031
Bengkayang;6.415300364;0.454135448;1.01385529;109.5715491
Bengkulu Selatan;1.830426913;0.09735957;-4.35040007;103.0242569
Bengkulu Tengah;1.687064027;0.092565001;-3.68379111;102.4038637
Bengkulu Utara;4.40630929;0.3638965;-3.41902447;102.0020597
Berau;14.40946863;1.780616911;1.94838004;117.2861445
Biak Numfor;5.213759929;0.182689486;-1.00442409;135.8444248
Bima;9.162210793;0.346214109;-8.47504979;118.6192535
Bintan;9.338080823;0.107024289;1.00762202;104.7037757
Bireuen;2.268196813;0.142676148;5.09652572;96.60611673
Blitar;2.901633049;0.14366923;-8.13004633;112.2381531
Blora;2.588665248;0.160199569;-7.07448634;111.3874386
Boalemo;3.348543265;0.148802002;0.65285762;122.3270914
Bogor;4.516475348;0.244566678;-6.55985351;106.7670785
Bojonegoro;3.226465672;0.189260939;-7.25567114;111.8099004
Bolaang Mongondow;3.485231837;0.256957445;0.71290313;124.0477293
Bolaang Mongondow Selatan;3.852857965;0.154618631;0.4523081;123.9205485
Bolaang Mongondow Timur;2.11080091;0.070792462;0.71873485;124.5119755
Bolaang Mongondow Utara;2.473016589;0.133649603;0.7676831;123.4764519
Bombana;5.484557883;0.268490951;-4.80133986;121.8524451
Bondowoso;2.220199716;0.127353408;-7.94381487;113.947583
Bone;4.592108738;0.372259215;-4.69569046;120.1300409
Bone Bolango;2.009018249;0.153476661;0.53235817;123.2923212
Boven Digoel;7.744048233;1.911285529;-6.00326983;140.3592376
Boyolali;3.017851205;0.089838499;-7.41680253;110.6522919
Brebes;3.156020086;0.142645084;-7.06284281;108.9295335
Buleleng;3.292660858;0.108577377;-8.20090254;114.9608659
Bulukumba;2.014783562;0.095481114;-5.43188083;120.2360375
Bulungan;10.74172943;1.055631618;2.82016973;117.0417068
Bungo;3.851920089;0.382435759;-1.59402143;101.9307963
Buol;5.032858949;0.301078389;0.97934441;121.385075
Buru;3.841983642;0.395676798;-3.32419526;126.7291742
Buru Selatan;4.480529766;0.303752984;-3.57103268;126.5243704
Buton;3.072132093;0.134556916;-5.31137898;122.924413
Buton Selatan;1.931596051;0.044644879;-5.60531548;122.6780568
Buton Tengah;3.085456885;0.069354809;-5.3153701;122.4004777
Buton Utara;4.713615102;0.142825142;-4.70296574;123.0125412
Ciamis;3.080743274;0.131113799;-7.29092453;108.4289806
Cianjur;4.387146089;0.297297148;-7.13108319;107.1592144
Cilacap;4.838717894;0.190377983;-7.48902479;108.8899006
Cirebon;2.869329077;0.087816954;-6.74600661;108.5512694
Dairi;2.313934104;0.164416803;2.84109681;98.26884075
Danau Toba;4.679496289;0.092055403;2.60680006;98.81087329
Deiyai;3.543319148;0.206048784;-4.17853211;136.373789
Deli Serdang;4.46230358;0.210294757;3.48101702;98.69493459
Demak;2.728655246;0.079949711;-6.91077392;110.6340826
Dharmasraya;4.347699082;0.244926044;-1.13379159;101.554874
Dogiyai;4.592368981;0.387184677;-4.02689062;135.6433908
Dompu;4.453755632;0.187457267;-8.47220456;118.2170429
Donggala;9.431347829;0.414781914;-0.43337036;119.831282
Empat Lawang;2.482166549;0.188136909;-3.75661349;102.9537517
Ende;2.996310774;0.171284971;-8.67649031;121.7354596
Enrekang;2.189365049;0.151054938;-3.50346766;119.877691
Fak Fak;15.71866811;0.800966961;-3.09471762;132.8571596
Flores Timur;4.673806521;0.143554516;-8.36519406;122.9444542
Garut;3.522359691;0.253985107;-7.3595628;107.7879075
Gayo Lues;4.26833748;0.441286422;3.97847705;97.36221218
Gianyar;1.088393871;0.029947609;-8.480995;115.2875222
