Href,Poi Name,Rating,Address
https://www.google.com/maps/place/GOR+88+BADMINTON+CIKARET/data=!4m7!3m6!1s0x2e69c1de3cd51be1:0x235bd6b89f83a018!8m2!3d-6.465987!4d106.84218!16s%2Fg%2F11c47_k7p7!19sChIJ4RvVPN7BaS4RGKCDn7jWWyM?authuser=0&hl=id&rclk=1,GOR 88 BADMINTON CIKARET,"4,5"," 4,5(753) 4,5(753) 4,5 (753)"
https://www.google.com/maps/place/GOR+Badminton+BW/data=!4m7!3m6!1s0x2e69c1dc0822b25d:0x3d329ae6f11fb7b0!8m2!3d-6.468044!4d106.8475233!16s%2Fg%2F11cjkmn4dj!19sChIJXbIiCNzBaS4RsLcf8eaaMj0?authuser=0&hl=id&rclk=1,GOR Badminton BW,"4,5","Lapangan Bulutangkis Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006 · Gg. Berkah No.88, RT.004/RW.006 Buka ⋅ Tutup pukul 00.00 Buka ⋅ Tutup pukul 00.00 Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189 · 0896-3410-7189"
https://www.google.com/maps/place/GOR+Bulutangkis+KAYPI/data=!4m7!3m6!1s0x2e69c4a3ce4497ad:0x764ea53416380c8f!8m2!3d-6.554647!4d106.744227!16s%2Fg%2F11f15hs_k3!19sChIJrZdEzqPEaS4Rjww4FjSlTnY?authuser=0&hl=id&rclk=1,GOR Bulutangkis KAYPI,"4,5","Lapangan Bulutangkis Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006 · Gg. Berkah No.88, RT.004/RW.006"
https://www.google.com/maps/place/Bulutangkis+Melia+Sawojajar/data=!4m7!3m6!1s0x2e69c5b55943b253:0x4910d5e7b11a2748!8m2!3d-6.5883242!4d106.7940623!16s%2Fg%2F11g8f_gf4z!19sChIJU7JDWbXFaS4RSCcasefVEEk?authuser=0&hl=id&rclk=1,Bulutangkis Melia Sawojajar,"4,5",Buka ⋅ Tutup pukul 00.00 Buka ⋅ Tutup pukul 00.00 Buka ⋅ Tutup pukul 00.00 · 0896-3410-7189 · 0896-3410-7189
https://www.google.com/maps/place/GOR+Badminton+Bukit+Jaya/data=!4m7!3m6!1s0x2e69c1d6c241b333:0x998ae456470861ab!8m2!3d-6.4643855!4d106.8569293!16s%2Fg%2F11c32b2c8n!19sChIJM7NBwtbBaS4Rq2EIR1bkipk?authuser=0&hl=id&rclk=1,GOR Badminton Bukit Jaya,"4,6"," 4,5(575) 4,5(575) 4,5 (575)"
https://www.google.com/maps/place/Gor+Bulutangkis+Kosalina+%28Bang+Cepi%29/data=!4m7!3m6!1s0x2e69c314edb554f9:0xf716c8085a725ac4!8m2!3d-6.4919235!4d106.7998143!16s%2Fg%2F11f662kblv!19sChIJ-VS17RTDaS4RxFpyWgjIFvc?authuser=0&hl=id&rclk=1,Gor Bulutangkis Kosalina (Bang Cepi),"4,5",Lapangan Bulutangkis Lapangan Bulutangkis · Jl. Al-Baliyah Jl. RE Sulaeman No.26 · Jl. Al-Baliyah Jl. RE Sulaeman No.26 Buka ⋅ Tutup pukul 23.00 Buka ⋅ Tutup pukul 23.00 Buka ⋅ Tutup pukul 23.00 · 0896-3887-5685 · 0896-3887-5685
https://www.google.com/maps/place/Hall+Bulutangkis+Pb+Batara/data=!4m7!3m6!1s0x2e69c1d0c024aa6f:0xf2cb4572a6be21c2!8m2!3d-6.4683405!4d106.8548287!16s%2Fg%2F11b5wqtsb3!19sChIJb6okwNDBaS4RwiG-pnJFy_I?authuser=0&hl=id&rclk=1,Hall Bulutangkis Pb Batara,"4,1",Lapangan Bulutangkis Lapangan Bulutangkis · Jl. Al-Baliyah Jl. RE Sulaeman No.26 · Jl. Al-Baliyah Jl. RE Sulaeman No.26
https://www.google.com/maps/place/GOR+Bulutangkis+Taman+Yasmin+Bogor/data=!4m7!3m6!1s0x2e69c46004396f77:0xcd275718cd5888a9!8m2!3d-6.5670891!4d106.7712934!16s%2Fg%2F11c3v6zm5k!19sChIJd285BGDEaS4RqYhYzRhXJ80?authuser=0&hl=id&rclk=1,GOR Bulutangkis Taman Yasmin Bogor,"4,4",Buka ⋅ Tutup pukul 23.00 Buka ⋅ Tutup pukul 23.00 Buka ⋅ Tutup pukul 23.00 · 0896-3887-5685 · 0896-3887-5685
https://www.google.com/maps/place/GOR+BS/data=!4m7!3m6!1s0x2e69c5a86e1c467f:0x52c9236aa83c3ee3!8m2!3d-6.5635142!4d106.7889175!16s%2Fg%2F11gn258r7y!19sChIJf0YcbqjFaS4R4z48qGojyVI?authuser=0&hl=id&rclk=1,GOR BS,"4,6"," 4,5(269) 4,5(269) 4,5 (269)"
https://www.google.com/maps/place/Hall+Bulutangkis+INDRAPRASTA/data=!4m7!3m6!1s0x2e69c423c53cb56d:0xbb9e00a88484cabc!8m2!3d-6.569312!4d106.8110183!16s%2Fg%2F11c1vm7zc3!19sChIJbbU8xSPEaS4RvMqEhKgAnrs?authuser=0&hl=id&rclk=1,Hall Bulutangkis INDRAPRASTA,"4,3","Klub Badminton Klub Badminton · Jl. Cilubang Nagrak No.RT 003/004, RT.01/RW.04 · Jl. Cilubang Nagrak No.RT 003/004, RT.01/RW.04 Buka ⋅ Tutup pukul 22.00 Buka ⋅ Tutup pukul 22.00 Buka ⋅ Tutup pukul 22.00 · 0816-1191-627 · 0816-1191-627"
